2026-06-30 13:13:44.335 | ERROR    | __main__:add_proposal_to_airtable:581 - Failed to add proposal End-of-Project Evaluation of the 'Improving Land Governance in the IGAD Region' Programme (Phase II): ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/PAST_PROPOSALS', '{\'type\': \'INVALID_VALUE_FOR_COLUMN\', \'message\': \'Field "year" cannot accept the provided value\'}')
2026-06-30 13:13:44.850 | DEBUG    | __main__:read_docx:201 - DOCX: Technical Proposal IOM 18 Nov 2025.docx → 78269 chars
2026-06-30 13:13:54.514 | DEBUG    | __main__:extract_proposal_info:413 - Extracted proposal: Clan Dynamics in Baidoa Research Study
2026-06-30 13:13:59.858 | ERROR    | __main__:add_proposal_to_airtable:581 - Failed to add proposal Clan Dynamics in Baidoa Research Study: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/PAST_PROPOSALS', '{\'type\': \'INVALID_VALUE_FOR_COLUMN\', \'message\': \'Field "year" cannot accept the provided value\'}')
2026-06-30 13:14:00.270 | DEBUG    | __main__:read_docx:201 - DOCX: Technical Proposal, CORTEC.docx → 15294 chars
2026-06-30 13:14:07.220 | DEBUG    | __main__:extract_proposal_info:413 - Extracted proposal: Survey of applicable expert remuneration fees in comparable organizations in Somalia
2026-06-30 13:14:28.273 | ERROR    | __main__:add_proposal_to_airtable:581 - Failed to add proposal Survey of applicable expert remuneration fees in comparable organizations in Somalia: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/PAST_PROPOSALS', '{\'type\': \'INVALID_VALUE_FOR_COLUMN\', \'message\': \'Field "year" cannot accept the provided value\'}')
2026-06-30 13:14:28.740 | DEBUG    | __main__:read_docx:201 - DOCX: Technical Proposal.docx → 82976 chars
2026-06-30 13:14:37.237 | DEBUG    | __main__:extract_proposal_info:413 - Extracted proposal: Kenya Livestock Marketing and Resilience Project (KLMP) Annual Outcome Monitoring Survey Consultancy – FY26
2026-06-30 13:14:58.738 | ERROR    | __main__:add_proposal_to_airtable:581 - Failed to add proposal Kenya Livestock Marketing and Resilience Project (KLMP) Annual Outcome Monitoring Survey Consultancy – FY26: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/PAST_PROPOSALS', '{\'type\': \'INVALID_VALUE_FOR_COLUMN\', \'message\': \'Field "year" cannot accept the provided value\'}')
